127.0.0.1 - - [09/Oct/2025:14:35:54 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:35:57 +0530] "GET /project_3/ HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:35:57 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:35:57 +0530] "GET /project_3/img/onlineresultsys.jpg HTTP/1.1" 200 374323
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:36:10 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:36:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:36:10 +0530] "GET /project_3/img/WallpaperDog-988052.jpg HTTP/1.1" 200 323633
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:36:15 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:36:15 +0530] "GET /project_3/img/loginhere.jpg HTTP/1.1" 200 121814
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:38 +0530] "GET /project_3/ HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:38 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:38 +0530] "GET /project_3/img/onlineresultsys.jpg HTTP/1.1" 200 374323
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:43 +0530] "GET /project_3/img/WallpaperDog-988052.jpg HTTP/1.1" 200 323633
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:46 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:47 +0530] "GET /project_3/img/loginhere.jpg HTTP/1.1" 200 121814
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:54 +0530] "POST /project_3/LoginCtl HTTP/1.1" 500 3715
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:58 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:59 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12087
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [09/Oct/2025:14:51:59 +0530] "GET /project_3/img/registeruser1.jpg HTTP/1.1" 200 102133
